comparison,dataset,base_prediction,tuned_prediction,count
gemma_drugs,bioasq,A,A,552
gemma_drugs,bioasq,A,B,6
gemma_drugs,bioasq,B,A,16
gemma_drugs,bioasq,B,B,44
gemma_drugs,medmcqa,A,A,1268
gemma_drugs,medmcqa,A,B,90
gemma_drugs,medmcqa,A,C,82
gemma_drugs,medmcqa,A,D,21
gemma_drugs,medmcqa,B,A,176
gemma_drugs,medmcqa,B,B,809
gemma_drugs,medmcqa,B,C,82
gemma_drugs,medmcqa,B,D,15
gemma_drugs,medmcqa,C,A,120
gemma_drugs,medmcqa,C,B,39
gemma_drugs,medmcqa,C,C,797
gemma_drugs,medmcqa,C,D,16
gemma_drugs,medmcqa,D,A,129
gemma_drugs,medmcqa,D,B,51
gemma_drugs,medmcqa,D,C,77
gemma_drugs,medmcqa,D,D,411
gemma_drugs,medqa,A,A,368
gemma_drugs,medqa,A,B,24
gemma_drugs,medqa,A,C,31
gemma_drugs,medqa,A,D,6
gemma_drugs,medqa,B,A,25
gemma_drugs,medqa,B,B,268
gemma_drugs,medqa,B,C,30
gemma_drugs,medqa,B,D,7
gemma_drugs,medqa,C,A,23
gemma_drugs,medqa,C,B,19
gemma_drugs,medqa,C,C,290
gemma_drugs,medqa,C,D,2
gemma_drugs,medqa,D,A,23
gemma_drugs,medqa,D,B,28
gemma_drugs,medqa,D,C,33
gemma_drugs,medqa,D,D,96
gemma_drugs,mmlu,A,A,295
gemma_drugs,mmlu,A,B,16
gemma_drugs,mmlu,A,C,19
gemma_drugs,mmlu,A,D,7
gemma_drugs,mmlu,B,A,27
gemma_drugs,mmlu,B,B,228
gemma_drugs,mmlu,B,C,15
gemma_drugs,mmlu,B,D,7
gemma_drugs,mmlu,C,A,15
gemma_drugs,mmlu,C,B,12
gemma_drugs,mmlu,C,C,210
gemma_drugs,mmlu,C,D,2
gemma_drugs,mmlu,D,A,16
gemma_drugs,mmlu,D,B,17
gemma_drugs,mmlu,D,C,31
gemma_drugs,mmlu,D,D,172
gemma_drugs,pubmedqa,A,A,378
gemma_drugs,pubmedqa,A,B,2
gemma_drugs,pubmedqa,B,A,14
gemma_drugs,pubmedqa,B,B,22
gemma_drugs,pubmedqa,C,A,52
gemma_drugs,pubmedqa,C,B,27
gemma_drugs,pubmedqa,C,C,5
