comparison,dataset,base_prediction,tuned_prediction,count
qwen05_who,bioasq,A,A,584
qwen05_who,bioasq,A,B,23
qwen05_who,bioasq,B,B,11
qwen05_who,medmcqa,A,A,168
qwen05_who,medmcqa,A,B,176
qwen05_who,medmcqa,A,C,3
qwen05_who,medmcqa,A,D,202
qwen05_who,medmcqa,B,A,1
qwen05_who,medmcqa,B,B,491
qwen05_who,medmcqa,B,C,2
qwen05_who,medmcqa,B,D,69
qwen05_who,medmcqa,C,B,13
qwen05_who,medmcqa,C,C,128
qwen05_who,medmcqa,C,D,26
qwen05_who,medmcqa,D,A,6
qwen05_who,medmcqa,D,B,135
qwen05_who,medmcqa,D,C,21
qwen05_who,medmcqa,D,D,2742
qwen05_who,medqa,A,A,35
qwen05_who,medqa,A,B,79
qwen05_who,medqa,A,C,9
qwen05_who,medqa,A,D,32
qwen05_who,medqa,B,B,219
qwen05_who,medqa,B,C,4
qwen05_who,medqa,B,D,7
qwen05_who,medqa,C,B,23
qwen05_who,medqa,C,C,134
qwen05_who,medqa,C,D,6
qwen05_who,medqa,D,A,2
qwen05_who,medqa,D,B,94
qwen05_who,medqa,D,C,54
qwen05_who,medqa,D,D,575
qwen05_who,mmlu,A,A,50
qwen05_who,mmlu,A,B,36
qwen05_who,mmlu,A,C,2
qwen05_who,mmlu,A,D,34
qwen05_who,mmlu,B,B,155
qwen05_who,mmlu,B,D,16
qwen05_who,mmlu,C,A,1
qwen05_who,mmlu,C,B,13
qwen05_who,mmlu,C,C,60
qwen05_who,mmlu,C,D,5
qwen05_who,mmlu,D,B,54
qwen05_who,mmlu,D,C,12
qwen05_who,mmlu,D,D,651
qwen05_who,pubmedqa,A,A,282
qwen05_who,pubmedqa,A,B,146
qwen05_who,pubmedqa,B,A,1
qwen05_who,pubmedqa,B,B,71
