comparison,dataset,gold,base_prediction,tuned_prediction,count
qwen05_drugs,bioasq,A,A,A,377
qwen05_drugs,bioasq,A,A,B,16
qwen05_drugs,bioasq,A,B,B,2
qwen05_drugs,bioasq,B,A,A,189
qwen05_drugs,bioasq,B,A,B,25
qwen05_drugs,bioasq,B,B,B,9
qwen05_drugs,medmcqa,A,A,A,87
qwen05_drugs,medmcqa,A,A,B,34
qwen05_drugs,medmcqa,A,A,C,4
qwen05_drugs,medmcqa,A,A,D,120
qwen05_drugs,medmcqa,A,B,A,2
qwen05_drugs,medmcqa,A,B,B,148
qwen05_drugs,medmcqa,A,B,C,9
qwen05_drugs,medmcqa,A,B,D,37
qwen05_drugs,medmcqa,A,C,B,2
qwen05_drugs,medmcqa,A,C,C,29
qwen05_drugs,medmcqa,A,C,D,7
qwen05_drugs,medmcqa,A,D,A,1
qwen05_drugs,medmcqa,A,D,B,23
qwen05_drugs,medmcqa,A,D,C,16
qwen05_drugs,medmcqa,A,D,D,829
qwen05_drugs,medmcqa,B,A,A,33
qwen05_drugs,medmcqa,B,A,B,27
qwen05_drugs,medmcqa,B,A,C,2
qwen05_drugs,medmcqa,B,A,D,78
qwen05_drugs,medmcqa,B,B,A,1
qwen05_drugs,medmcqa,B,B,B,141
qwen05_drugs,medmcqa,B,B,C,6
qwen05_drugs,medmcqa,B,B,D,36
qwen05_drugs,medmcqa,B,C,C,28
qwen05_drugs,medmcqa,B,C,D,4
qwen05_drugs,medmcqa,B,D,A,1
qwen05_drugs,medmcqa,B,D,B,15
qwen05_drugs,medmcqa,B,D,C,5
qwen05_drugs,medmcqa,B,D,D,708
qwen05_drugs,medmcqa,C,A,A,24
qwen05_drugs,medmcqa,C,A,B,13
qwen05_drugs,medmcqa,C,A,C,2
qwen05_drugs,medmcqa,C,A,D,56
qwen05_drugs,medmcqa,C,B,B,71
qwen05_drugs,medmcqa,C,B,C,4
qwen05_drugs,medmcqa,C,B,D,21
qwen05_drugs,medmcqa,C,C,C,66
qwen05_drugs,medmcqa,C,C,D,8
qwen05_drugs,medmcqa,C,D,A,1
qwen05_drugs,medmcqa,C,D,B,6
qwen05_drugs,medmcqa,C,D,C,12
qwen05_drugs,medmcqa,C,D,D,641
qwen05_drugs,medmcqa,D,A,A,22
qwen05_drugs,medmcqa,D,A,B,8
qwen05_drugs,medmcqa,D,A,D,39
qwen05_drugs,medmcqa,D,B,B,70
qwen05_drugs,medmcqa,D,B,D,17
