comparison,dataset,gold,base_prediction,tuned_prediction,count
qwen05_who,bioasq,A,A,A,386
qwen05_who,bioasq,A,A,B,7
qwen05_who,bioasq,A,B,B,2
qwen05_who,bioasq,B,A,A,198
qwen05_who,bioasq,B,A,B,16
qwen05_who,bioasq,B,B,B,9
qwen05_who,medmcqa,A,A,A,87
qwen05_who,medmcqa,A,A,B,80
qwen05_who,medmcqa,A,A,C,1
qwen05_who,medmcqa,A,A,D,77
qwen05_who,medmcqa,A,B,B,176
qwen05_who,medmcqa,A,B,D,20
qwen05_who,medmcqa,A,C,B,5
qwen05_who,medmcqa,A,C,C,30
qwen05_who,medmcqa,A,C,D,3
qwen05_who,medmcqa,A,D,A,2
qwen05_who,medmcqa,A,D,B,46
qwen05_who,medmcqa,A,D,C,8
qwen05_who,medmcqa,A,D,D,813
qwen05_who,medmcqa,B,A,A,36
qwen05_who,medmcqa,B,A,B,53
qwen05_who,medmcqa,B,A,C,1
qwen05_who,medmcqa,B,A,D,50
qwen05_who,medmcqa,B,B,A,1
qwen05_who,medmcqa,B,B,B,159
qwen05_who,medmcqa,B,B,C,2
qwen05_who,medmcqa,B,B,D,22
qwen05_who,medmcqa,B,C,B,1
qwen05_who,medmcqa,B,C,C,26
qwen05_who,medmcqa,B,C,D,5
qwen05_who,medmcqa,B,D,B,47
qwen05_who,medmcqa,B,D,C,5
qwen05_who,medmcqa,B,D,D,677
qwen05_who,medmcqa,C,A,A,26
qwen05_who,medmcqa,C,A,B,31
qwen05_who,medmcqa,C,A,D,38
qwen05_who,medmcqa,C,B,B,84
qwen05_who,medmcqa,C,B,D,12
qwen05_who,medmcqa,C,C,B,6
qwen05_who,medmcqa,C,C,C,59
qwen05_who,medmcqa,C,C,D,9
qwen05_who,medmcqa,C,D,A,1
qwen05_who,medmcqa,C,D,B,28
qwen05_who,medmcqa,C,D,C,5
qwen05_who,medmcqa,C,D,D,626
qwen05_who,medmcqa,D,A,A,19
qwen05_who,medmcqa,D,A,B,12
qwen05_who,medmcqa,D,A,C,1
qwen05_who,medmcqa,D,A,D,37
qwen05_who,medmcqa,D,B,B,72
qwen05_who,medmcqa,D,B,D,15
qwen05_who,medmcqa,D,C,B,1
qwen05_who,medmcqa,D,C,C,13
qwen05_who,medmcqa,D,C,D,9
qwen05_who,medmcqa,D,D,A,3
qwen05_who,medmcqa,D,D,B,14
qwen05_who,medmcqa,D,D,C,3
qwen05_who,medmcqa,D,D,D,626
