comparison,dataset,base_prediction,tuned_prediction,count
gemma_who,bioasq,A,A,555
gemma_who,bioasq,A,B,3
gemma_who,bioasq,B,A,41
gemma_who,bioasq,B,B,19
gemma_who,medmcqa,A,A,1305
gemma_who,medmcqa,A,B,40
gemma_who,medmcqa,A,C,59
gemma_who,medmcqa,A,D,57
gemma_who,medmcqa,B,A,344
gemma_who,medmcqa,B,B,591
gemma_who,medmcqa,B,C,83
gemma_who,medmcqa,B,D,64
gemma_who,medmcqa,C,A,227
gemma_who,medmcqa,C,B,23
gemma_who,medmcqa,C,C,665
gemma_who,medmcqa,C,D,57
gemma_who,medmcqa,D,A,167
gemma_who,medmcqa,D,B,21
gemma_who,medmcqa,D,C,38
gemma_who,medmcqa,D,D,442
gemma_who,medqa,A,A,372
gemma_who,medqa,A,B,15
gemma_who,medqa,A,C,19
gemma_who,medqa,A,D,23
gemma_who,medqa,B,A,69
gemma_who,medqa,B,B,216
gemma_who,medqa,B,C,20
gemma_who,medqa,B,D,25
gemma_who,medqa,C,A,51
gemma_who,medqa,C,B,9
gemma_who,medqa,C,C,237
gemma_who,medqa,C,D,37
gemma_who,medqa,D,A,31
gemma_who,medqa,D,B,7
gemma_who,medqa,D,C,9
gemma_who,medqa,D,D,133
gemma_who,mmlu,A,A,294
gemma_who,mmlu,A,B,8
gemma_who,mmlu,A,C,14
gemma_who,mmlu,A,D,21
gemma_who,mmlu,B,A,54
gemma_who,mmlu,B,B,183
gemma_who,mmlu,B,C,16
gemma_who,mmlu,B,D,24
gemma_who,mmlu,C,A,25
gemma_who,mmlu,C,B,12
gemma_who,mmlu,C,C,182
gemma_who,mmlu,C,D,20
gemma_who,mmlu,D,A,20
gemma_who,mmlu,D,B,8
gemma_who,mmlu,D,C,14
gemma_who,mmlu,D,D,194
gemma_who,pubmedqa,A,A,380
gemma_who,pubmedqa,B,A,23
gemma_who,pubmedqa,B,B,13
gemma_who,pubmedqa,C,A,68
gemma_who,pubmedqa,C,B,12
gemma_who,pubmedqa,C,C,4
