comparison,dataset,base_prediction,tuned_prediction,count
qwen05_drugs,bioasq,A,A,566
qwen05_drugs,bioasq,A,B,41
qwen05_drugs,bioasq,B,B,11
qwen05_drugs,medmcqa,A,A,166
qwen05_drugs,medmcqa,A,B,82
qwen05_drugs,medmcqa,A,C,8
qwen05_drugs,medmcqa,A,D,293
qwen05_drugs,medmcqa,B,A,3
qwen05_drugs,medmcqa,B,B,430
qwen05_drugs,medmcqa,B,C,19
qwen05_drugs,medmcqa,B,D,111
qwen05_drugs,medmcqa,C,B,2
qwen05_drugs,medmcqa,C,C,136
qwen05_drugs,medmcqa,C,D,29
qwen05_drugs,medmcqa,D,A,4
qwen05_drugs,medmcqa,D,B,48
qwen05_drugs,medmcqa,D,C,41
qwen05_drugs,medmcqa,D,D,2811
qwen05_drugs,medqa,A,A,70
qwen05_drugs,medqa,A,B,39
qwen05_drugs,medqa,A,C,14
qwen05_drugs,medqa,A,D,32
qwen05_drugs,medqa,B,B,216
qwen05_drugs,medqa,B,C,4
qwen05_drugs,medqa,B,D,10
qwen05_drugs,medqa,C,B,5
qwen05_drugs,medqa,C,C,157
qwen05_drugs,medqa,C,D,1
qwen05_drugs,medqa,D,A,5
qwen05_drugs,medqa,D,B,53
qwen05_drugs,medqa,D,C,82
qwen05_drugs,medqa,D,D,585
qwen05_drugs,mmlu,A,A,49
qwen05_drugs,mmlu,A,B,18
qwen05_drugs,mmlu,A,C,8
qwen05_drugs,mmlu,A,D,47
qwen05_drugs,mmlu,B,A,1
qwen05_drugs,mmlu,B,B,148
qwen05_drugs,mmlu,B,C,5
qwen05_drugs,mmlu,B,D,17
qwen05_drugs,mmlu,C,B,2
qwen05_drugs,mmlu,C,C,75
qwen05_drugs,mmlu,C,D,2
qwen05_drugs,mmlu,D,A,1
qwen05_drugs,mmlu,D,B,22
qwen05_drugs,mmlu,D,C,21
qwen05_drugs,mmlu,D,D,673
qwen05_drugs,pubmedqa,A,A,247
qwen05_drugs,pubmedqa,A,B,181
qwen05_drugs,pubmedqa,B,B,72
