comparison,dataset,gold,base_prediction,tuned_prediction,count
gemma_who,bioasq,A,A,A,385
gemma_who,bioasq,A,A,B,1
gemma_who,bioasq,A,B,A,8
gemma_who,bioasq,A,B,B,1
gemma_who,bioasq,B,A,A,170
gemma_who,bioasq,B,A,B,2
gemma_who,bioasq,B,B,A,33
gemma_who,bioasq,B,B,B,18
gemma_who,medmcqa,A,A,A,639
gemma_who,medmcqa,A,A,B,18
gemma_who,medmcqa,A,A,C,24
gemma_who,medmcqa,A,A,D,23
gemma_who,medmcqa,A,B,A,94
gemma_who,medmcqa,A,B,B,135
gemma_who,medmcqa,A,B,C,17
gemma_who,medmcqa,A,B,D,5
gemma_who,medmcqa,A,C,A,73
gemma_who,medmcqa,A,C,B,3
gemma_who,medmcqa,A,C,C,150
gemma_who,medmcqa,A,C,D,10
gemma_who,medmcqa,A,D,A,57
gemma_who,medmcqa,A,D,B,5
gemma_who,medmcqa,A,D,C,5
gemma_who,medmcqa,A,D,D,90
gemma_who,medmcqa,B,A,A,264
gemma_who,medmcqa,B,A,B,14
gemma_who,medmcqa,B,A,C,16
gemma_who,medmcqa,B,A,D,15
gemma_who,medmcqa,B,B,A,122
gemma_who,medmcqa,B,B,B,298
gemma_who,medmcqa,B,B,C,31
gemma_who,medmcqa,B,B,D,24
gemma_who,medmcqa,B,C,A,46
gemma_who,medmcqa,B,C,B,9
gemma_who,medmcqa,B,C,C,117
gemma_who,medmcqa,B,C,D,12
gemma_who,medmcqa,B,D,A,40
gemma_who,medmcqa,B,D,B,5
gemma_who,medmcqa,B,D,C,6
gemma_who,medmcqa,B,D,D,66
gemma_who,medmcqa,C,A,A,224
gemma_who,medmcqa,C,A,B,3
gemma_who,medmcqa,C,A,C,14
gemma_who,medmcqa,C,A,D,4
gemma_who,medmcqa,C,B,A,61
gemma_who,medmcqa,C,B,B,87
gemma_who,medmcqa,C,B,C,20
gemma_who,medmcqa,C,B,D,15
gemma_who,medmcqa,C,C,A,72
gemma_who,medmcqa,C,C,B,9
gemma_who,medmcqa,C,C,C,295
gemma_who,medmcqa,C,C,D,20
gemma_who,medmcqa,C,D,A,27
gemma_who,medmcqa,C,D,B,1
gemma_who,medmcqa,C,D,C,9
gemma_who,medmcqa,C,D,D,64
gemma_who,medmcqa,D,A,A,178
gemma_who,medmcqa,D,A,B,5
gemma_who,medmcqa,D,A,C,5
gemma_who,medmcqa,D,A,D,15
gemma_who,medmcqa,D,B,A,67
gemma_who,medmcqa,D,B,B,71
gemma_who,medmcqa,D,B,C,15
gemma_who,medmcqa,D,B,D,20
gemma_who,medmcqa,D,C,A,36
gemma_who,medmcqa,D,C,B,2
gemma_who,medmcqa,D,C,C,103
gemma_who,medmcqa,D,C,D,15
gemma_who,medmcqa,D,D,A,43
gemma_who,medmcqa,D,D,B,10
gemma_who,medmcqa,D,D,C,18
gemma_who,medmcqa,D,D,D,222
gemma_who,medqa,A,A,A,181
gemma_who,medqa,A,A,B,8
gemma_who,medqa,A,A,C,7
gemma_who,medqa,A,A,D,12
gemma_who,medqa,A,B,A,15
gemma_who,medqa,A,B,B,33
gemma_who,medqa,A,B,C,2
gemma_who,medqa,A,B,D,3
gemma_who,medqa,A,C,A,15
gemma_who,medqa,A,C,B,1
gemma_who,medqa,A,C,C,40
gemma_who,medqa,A,C,D,9
gemma_who,medqa,A,D,A,6
gemma_who,medqa,A,D,B,2
gemma_who,medqa,A,D,C,1
gemma_who,medqa,A,D,D,18
gemma_who,medqa,B,A,A,73
gemma_who,medqa,B,A,B,4
gemma_who,medqa,B,A,C,2
gemma_who,medqa,B,A,D,2
gemma_who,medqa,B,B,A,22
gemma_who,medqa,B,B,B,108
gemma_who,medqa,B,B,C,9
gemma_who,medqa,B,B,D,11
gemma_who,medqa,B,C,A,11
gemma_who,medqa,B,C,B,1
gemma_who,medqa,B,C,C,28
gemma_who,medqa,B,C,D,6
gemma_who,medqa,B,D,A,7
gemma_who,medqa,B,D,B,2
gemma_who,medqa,B,D,C,1
gemma_who,medqa,B,D,D,22
gemma_who,medqa,C,A,A,57
gemma_who,medqa,C,A,C,3
gemma_who,medqa,C,A,D,4
gemma_who,medqa,C,B,A,18
gemma_who,medqa,C,B,B,38
gemma_who,medqa,C,B,C,8
gemma_who,medqa,C,B,D,5
gemma_who,medqa,C,C,A,18
gemma_who,medqa,C,C,B,5
gemma_who,medqa,C,C,C,136
gemma_who,medqa,C,C,D,10
gemma_who,medqa,C,D,A,7
gemma_who,medqa,C,D,C,3
gemma_who,medqa,C,D,D,34
gemma_who,medqa,D,A,A,61
gemma_who,medqa,D,A,B,3
gemma_who,medqa,D,A,C,7
gemma_who,medqa,D,A,D,5
gemma_who,medqa,D,B,A,14
gemma_who,medqa,D,B,B,37
gemma_who,medqa,D,B,C,1
gemma_who,medqa,D,B,D,6
gemma_who,medqa,D,C,A,7
gemma_who,medqa,D,C,B,2
gemma_who,medqa,D,C,C,33
gemma_who,medqa,D,C,D,12
gemma_who,medqa,D,D,A,11
gemma_who,medqa,D,D,B,3
gemma_who,medqa,D,D,C,4
gemma_who,medqa,D,D,D,59
gemma_who,mmlu,A,A,A,154
gemma_who,mmlu,A,A,B,2
gemma_who,mmlu,A,A,C,3
gemma_who,mmlu,A,A,D,5
gemma_who,mmlu,A,B,A,11
gemma_who,mmlu,A,B,B,17
gemma_who,mmlu,A,B,C,2
gemma_who,mmlu,A,B,D,3
gemma_who,mmlu,A,C,A,5
gemma_who,mmlu,A,C,B,3
gemma_who,mmlu,A,C,C,16
gemma_who,mmlu,A,C,D,3
gemma_who,mmlu,A,D,A,2
gemma_who,mmlu,A,D,D,9
gemma_who,mmlu,B,A,A,52
gemma_who,mmlu,B,A,B,2
gemma_who,mmlu,B,A,C,3
gemma_who,mmlu,B,A,D,5
gemma_who,mmlu,B,B,A,20
gemma_who,mmlu,B,B,B,111
gemma_who,mmlu,B,B,C,3
gemma_who,mmlu,B,B,D,10
gemma_who,mmlu,B,C,A,7
gemma_who,mmlu,B,C,B,1
gemma_who,mmlu,B,C,C,14
gemma_who,mmlu,B,C,D,2
gemma_who,mmlu,B,D,A,2
gemma_who,mmlu,B,D,B,1
gemma_who,mmlu,B,D,C,4
gemma_who,mmlu,B,D,D,17
