comparison,dataset,gold,base_prediction,tuned_prediction,count
gemma_drugs,bioasq,A,A,A,382
gemma_drugs,bioasq,A,A,B,4
gemma_drugs,bioasq,A,B,A,3
gemma_drugs,bioasq,A,B,B,6
gemma_drugs,bioasq,B,A,A,170
gemma_drugs,bioasq,B,A,B,2
gemma_drugs,bioasq,B,B,A,13
gemma_drugs,bioasq,B,B,B,38
gemma_drugs,medmcqa,A,A,A,637
gemma_drugs,medmcqa,A,A,B,34
gemma_drugs,medmcqa,A,A,C,27
gemma_drugs,medmcqa,A,A,D,6
gemma_drugs,medmcqa,A,B,A,55
gemma_drugs,medmcqa,A,B,B,181
gemma_drugs,medmcqa,A,B,C,14
gemma_drugs,medmcqa,A,B,D,1
gemma_drugs,medmcqa,A,C,A,42
gemma_drugs,medmcqa,A,C,B,10
gemma_drugs,medmcqa,A,C,C,184
gemma_drugs,medmcqa,A,D,A,44
gemma_drugs,medmcqa,A,D,B,15
gemma_drugs,medmcqa,A,D,C,16
gemma_drugs,medmcqa,A,D,D,82
gemma_drugs,medmcqa,B,A,A,258
gemma_drugs,medmcqa,B,A,B,31
gemma_drugs,medmcqa,B,A,C,14
gemma_drugs,medmcqa,B,A,D,6
gemma_drugs,medmcqa,B,B,A,60
gemma_drugs,medmcqa,B,B,B,378
gemma_drugs,medmcqa,B,B,C,33
gemma_drugs,medmcqa,B,B,D,4
gemma_drugs,medmcqa,B,C,A,22
gemma_drugs,medmcqa,B,C,B,15
gemma_drugs,medmcqa,B,C,C,146
gemma_drugs,medmcqa,B,C,D,1
gemma_drugs,medmcqa,B,D,A,33
gemma_drugs,medmcqa,B,D,B,14
gemma_drugs,medmcqa,B,D,C,18
gemma_drugs,medmcqa,B,D,D,52
gemma_drugs,medmcqa,C,A,A,196
gemma_drugs,medmcqa,C,A,B,17
gemma_drugs,medmcqa,C,A,C,28
gemma_drugs,medmcqa,C,A,D,4
gemma_drugs,medmcqa,C,B,A,22
gemma_drugs,medmcqa,C,B,B,134
gemma_drugs,medmcqa,C,B,C,21
gemma_drugs,medmcqa,C,B,D,6
gemma_drugs,medmcqa,C,C,A,32
gemma_drugs,medmcqa,C,C,B,10
gemma_drugs,medmcqa,C,C,C,347
gemma_drugs,medmcqa,C,C,D,7
gemma_drugs,medmcqa,C,D,A,19
gemma_drugs,medmcqa,C,D,B,11
gemma_drugs,medmcqa,C,D,C,13
gemma_drugs,medmcqa,C,D,D,58
gemma_drugs,medmcqa,D,A,A,177
gemma_drugs,medmcqa,D,A,B,8
gemma_drugs,medmcqa,D,A,C,13
gemma_drugs,medmcqa,D,A,D,5
gemma_drugs,medmcqa,D,B,A,39
gemma_drugs,medmcqa,D,B,B,116
gemma_drugs,medmcqa,D,B,C,14
gemma_drugs,medmcqa,D,B,D,4
gemma_drugs,medmcqa,D,C,A,24
gemma_drugs,medmcqa,D,C,B,4
gemma_drugs,medmcqa,D,C,C,120
gemma_drugs,medmcqa,D,C,D,8
gemma_drugs,medmcqa,D,D,A,33
gemma_drugs,medmcqa,D,D,B,11
gemma_drugs,medmcqa,D,D,C,30
gemma_drugs,medmcqa,D,D,D,219
gemma_drugs,medqa,A,A,A,187
gemma_drugs,medqa,A,A,B,6
gemma_drugs,medqa,A,A,C,13
gemma_drugs,medqa,A,A,D,2
gemma_drugs,medqa,A,B,A,7
gemma_drugs,medqa,A,B,B,40
gemma_drugs,medqa,A,B,C,6
gemma_drugs,medqa,A,C,A,9
gemma_drugs,medqa,A,C,B,4
gemma_drugs,medqa,A,C,C,50
gemma_drugs,medqa,A,C,D,2
gemma_drugs,medqa,A,D,A,3
gemma_drugs,medqa,A,D,B,5
gemma_drugs,medqa,A,D,C,7
gemma_drugs,medqa,A,D,D,12
gemma_drugs,medqa,B,A,A,69
gemma_drugs,medqa,B,A,B,7
gemma_drugs,medqa,B,A,C,4
gemma_drugs,medqa,B,A,D,1
gemma_drugs,medqa,B,B,A,7
gemma_drugs,medqa,B,B,B,130
gemma_drugs,medqa,B,B,C,9
gemma_drugs,medqa,B,B,D,4
gemma_drugs,medqa,B,C,A,5
gemma_drugs,medqa,B,C,B,5
gemma_drugs,medqa,B,C,C,36
gemma_drugs,medqa,B,D,A,4
gemma_drugs,medqa,B,D,B,6
gemma_drugs,medqa,B,D,C,4
gemma_drugs,medqa,B,D,D,18
gemma_drugs,medqa,C,A,A,49
